"name","office","state","district","incumbent","representative","reference_name","reference_url"
"Rosa Delauro","house","Connecticut","3rd","","Rosa DeLauro","""Democrats Nominate Incumbents For Congress""","http://www.courant.com/politics/elections/hc-democrats-congressional-candidates-20160509-story.html"
"Jim Himes","house","Connecticut","4th","","Jim Himes","""Democrats Nominate Incumbents For Congress""","http://www.courant.com/politics/elections/hc-democrats-congressional-candidates-20160509-story.html"
"Elizabeth Esty","house","Connecticut","5th","","Elizabeth Esty","""Democrats Nominate Incumbents For Congress""","http://www.courant.com/politics/elections/hc-democrats-congressional-candidates-20160509-story.html"
"Sean Barney","house","Delaware","at-large","","John Carney","""Sean Barney entering congressional race""","http://www.delawareonline.com/story/news/politics/2015/12/01/wil-sean-barney/76555484"
"Lisa Blunt Rochester","house","Delaware","at-large","","John Carney","""Former state labor secretary enters congressional race""","http://www.delawareonline.com/story/news/2015/10/26/delaware-congressional-race-getting-crowded/74648224/?hootPostID=9fbb6f10bc14e27323d5cfc8a4d7d0a1"
"Mike Miller","house","Delaware","at-large","","John Carney","""Mike Miller of Lewes announces candidacy for Congress""","http://www.delaware1059.com/story.php?id=19809"
"Bryan Townsend","house","Delaware","at-large","","John Carney","""State Sen. Bryan Townsend announces congressional bid""","http://www.delawareonline.com/story/firststatepolitics/2015/09/17/bryan-townsend-announces-congressional-bid/32548779"
"Steven Specht","house","Florida","1st","","Jeff Miller","""Air Force Veteran Specht Running for Congress""","http://pulsegulfcoast.com/2016/04/air-force-veteran-specht-running-congress"
"Steve Crapps","house","Florida","2nd","","Gwen Graham","""Bay County election races solidify""","http://www.newsherald.com/news/20160620/bay-county-election-races-solidify"
"Walter Dartland","house","Florida","2nd","","Gwen Graham","""Florida Filed Candidates""","http://dos.elections.myflorida.com/candidates/canlist.asp"
"Ken Mcgurn","house","Florida","3rd","","Ted Yoho","""Florida Filed Candidates""","http://dos.elections.myflorida.com/candidates/canlist.asp"
"David E. Bruderly","house","Florida","4th","","Ander Crenshaw","""Florida Filed Candidates""","http://dos.elections.myflorida.com/candidates/canlist.asp"
"Al Lawson","house","Florida","5th","","Corrine Brown","""Former Sen. Al Lawson running for Congress""","http://www.tallahassee.com/story/news/2015/12/15/former-sen-al-lawson-running-congress/77365824"
"Bill Mccullough","house","Florida","6th","","Ron DeSantis","""Former Jeb, Rubio Staffer Brandon Patty Runs for Congress""","http://www.sunshinestatenews.com/story/former-jeb-rubio-staffer-brandon-patty-runs-congress"
"Stephanie Murphy","house","Florida","7th","","John Mica","""Stephanie Murphy files to run against John Mica in CD 7""","http://floridapolitics.com/archives/214370-stephanie-murphy-files-run-john-mica-cd-7"
"Corry Westbrook","house","Florida","8th","","Bill Posey","""Posey gets opponents in bid for re-election to Congress""","http://www.floridatoday.com/story/news/politics/elections/2016/06/21/posey-gets-two-opponents-bid-re-election-congress/86168598"
"Darren Soto","house","Florida","9th","","Alan Grayson","""Soto set to file for Grayson's seat; Randolph expected too""","http://www.orlandosentinel.com/os-darren-soto-congress-election-alan-grayson-20150709-post.html"
"Val Demings","house","Florida","10th","","Dan Webster","""Val Demings to run for Congress""","http://www.orlandosentinel.com/news/politics/political-pulse/os-val-demings-to-run-for-congress-20150817-post.html"
"Dave Koller","house","Florida","11th","","Rich Nugent","""Congressional candidate qualifies for ballot by petition""","https://www.villages-news.com/congressional-candidate-qualifies-ballot-petition"
"Robert Tager","house","Florida","12th","","Gus Bilirakis","""Gus Bilirakis Auditions for House Committee Chairmanship""","http://www.sunshinestatenews.com/story/gus-bilirakis-auditions-house-committee-chairmanship"
"Charlie Crist","house","Florida","13th","","David Jolly","""Former Gov. Charlie Crist running for Congress""","http://www.sun-sentinel.com/news/politics/fl-ap-charlie-crist-congress-20151020-story.html"
"Kathy Castor","house","Florida","14th","","Kathy Castor","""Florida's clout in Congress recedes""","http://www.theledger.com/article/20160605/NEWS/160609690"
"Jim Lange","house","Florida","15th","","Dennis Ross","""Democrat Jim Lange to Challenge Dennis Ross in CD 15""","http://floridapolitics.com/archives/203068-democratic-cd-15-candidate-jim-lange-says-he-wants-to-help-repair-the-countrys-fractured-political-system"
"Jan Schneider","house","Florida","16th","","Vern Buchanan","""Perennial Sarasota candidate Jan Schneider files to run for Rep. Vern Buchanan's Congressional seat""","http://www.bradenton.com/news/politics-government/article68607367.html"
"April Freeman","house","Florida","17th","","Tom Rooney","""Freeman won't challenge Clawson, will run in District 17""","http://www.news-press.com/story/news/politics/betty-parker/2015/12/04/freeman-wont-challenge-clawson-run-district-17/76792774"
"Randy Perkins","house","Florida","18th","","Patrick Murphy","""Hurricane-cleanup CEO set to join Dem race for Murphy U.S. House seat""","http://www.mypalmbeachpost.com/news/news/state-regional-govt-politics/hurricane-cleanup-ceo-set-to-join-dem-race-for-mur/npPLS"
"Robert Neeld","house","Florida","19th","","Curt Clawson","""Lee County ballot rounding out""","http://www.news-press.com/story/news/politics/2016/06/22/lee-county-ballot-rounding-out/86258438"
"Alcee Hastings","house","Florida","20th","","Alcee Hastings","""Alcee Hastings running for re-election in 2016 – maybe for the last time""","http://www.sun-sentinel.com/news/politics/fl-alcee-hastings-political-future-20141112-story.html"
"Lois Frankel","house","Florida","21st","","Ted Deutch","""Sun Sentinel exclusive: Ted Deutch to run in Broward-based district, leaving Lois Frankel to run in all-Palm Beach County district""","http://www.sun-sentinel.com/news/politics/fl-ted-deutch-congress-broward-20151202-story.html"
"Ted Deutch","house","Florida","22nd","","Lois Frankel","""Sun Sentinel exclusive: Ted Deutch to run in Broward-based district, leaving Lois Frankel to run in all-Palm Beach County district""","http://www.sun-sentinel.com/news/politics/fl-ted-deutch-congress-broward-20151202-story.html"
"Debbie Wasserman Schultz","house","Florida","23rd","","Debbie Wasserman Schultz","""Debbie Wasserman Schultz won't run for Senate""","http://www.politico.com/story/2015/03/debbie-wasserman-schultz-not-running-senate-116155.html"
"Frederica Wilson","house","Florida","24th","","Frederica Wilson","""Deutch a campaign cash juggernaut; ex-Dolphin Hill lags behind Wilson""","http://www.sun-sentinel.com/news/politics/fl-florida-congress-candidates-money-20151016-story.html"
"Alina Valdes","house","Florida","25th","","Mario Diaz-Balart","""Cuban-Americans need freedom from failed politicians and policies""","http://www.sun-sentinel.com/opinion/letters/fl-letter-announce-0719-20150721-story.html"
"Joe Garcia","house","Florida","26th","","Carlos Curbelo","""Democrat Joe Garcia says he's running for Congress in Miami again""","http://www.miamiherald.com/news/politics-government/article58271983.html"
"Scott Fuhrman","house","Florida","27th","","Ileana Ros-Lehtinen","""Miami GOP Rep. Ileana Ros-Lehtinen draws Democratic challenger""","http://www.miamiherald.com/news/politics-government/election/article81467547.html"
"Sanford Bishop","house","Georgia","2nd","","Sanford Bishop","""Sanford Bishop will run for re-election in 2016""","http://politics.blog.ajc.com/2015/10/07/sanford-bishop-will-run-for-re-election-in-2016"
"Angela Pendley","house","Georgia","3rd","","Lynn Westmoreland","""Pendley wins Democratic nomination in U.S. Congress race""","http://times-herald.com/news/2016/05/cook-pendley-results-expected-friday"
"Hank Johnson","house","Georgia","4th","","Hank Johnson","""POLITICAL NOTEBOOK: Hank Johnson announces congressional re-election bid""","http://www.gwinnettdailypost.com/local/politics/political-notebook-hank-johnson-announces-congressional-re-election-bid/article_c2f2354f-9de4-5ee4-a0c4-6ffd7fb8ae86.html"
"John Lewis","house","Georgia","5th","","John Lewis","""John Lewis is running for re-election in 2016""","http://politics.blog.ajc.com/2015/10/01/john-lewis-is-running-for-re-election-in-2016"
"Rodney Stooksbury","house","Georgia","6th","","Tom Price","""Southwest Georgia's congressional delegation qualifies for re-election""","http://www.albanyherald.com/news/local/government/southwest-georgia-s-congressional-delegation-qualifies-for-re-election/article_f2d69688-e9c3-5ab0-b2e7-f92794ba3f5c.html"
"Rashid Malik","house","Georgia","7th","","Rob Woodall","""Qualifying for May 24 primary off to quick start in Forsyth County""","http://www.forsythnews.com/section/1/article/29576"
"James Harris","house","Georgia","8th","","Austin Scott","""Challengers step up for Scott, Bishop's congressional seats""","http://www.13wmaz.com/news/challengers-step-up-for-scott-bishops-congressional-seats/73927591"
"Don Wilson","house","Georgia","11th","","Barry Loudermilk","""Two more Republicans join 2nd Congressional District race""","http://www.albanyherald.com/news/local/government/two-more-republicans-join-nd-congressional-district-race/article_da653f28-264b-543c-95fc-faa83858d576.html"
"Tricia Mccracken","house","Georgia","12th","","Rick Allen","""Challengers step up for Scott, Bishop's congressional seats""","http://www.13wmaz.com/news/challengers-step-up-for-scott-bishops-congressional-seats/73927591"
"David Scott","house","Georgia","13th","","David Scott","""Incumbents qualify early for Cobb, Georgia offices""","http://mdjonline.com/view/full_story/27115155/article-Incumbents-qualify-early-for-Cobb--Georgia-offices"
"Colleen Hanabusa","house","Hawaii","1st","","Mark Takai","",""
"Tulsi Gabbard","house","Hawaii","2nd","","Tulsi Gabbard","",""
"James Piotrowski","house","Idaho","1st","","Raul Labrador","""Democrat Piotrowski launches challenge to Rep. Labrador""","http://www.spokesman.com/blogs/boise/2016/mar/07/democrat-piotrowski-launches-challenge-rep-labrador"
"Jennifer Martinez","house","Idaho","2nd","","Mike Simpson","""Declaration for 2016""","http://www.sos.idaho.gov/elect/candidat/2016/2016_May_Primary_Candidate_List.pdf"
"Bobby Rush","house","Illinois","1st","","Bobby Rush","""IL Cong Bobby Rush, wants to set record straight, he is running for re-election #Congress""","https://twitter.com/MaryAnnAhernNBC/status/667751169738055680"
"Robin Kelly","house","Illinois","2nd","","Robin Kelly","""Kelly out of Senate race; Duckworth camp demands personal Kirk 'bro/ho' apology""","http://chicago.suntimes.com/news/7/71/685560/rep-robin-kelly-will-run-illinois-senate-seat-exclusive"
"Dan Lipinski","house","Illinois","3rd","","Dan Lipinski","""Candidate List""","http://www.elections.state.il.us/ElectionInformation/CandList.aspx?SearchType=OfficeID&ElectionID=50&OfficeID=7527&OrderBy=ORDER%20BY%20OfficeBallotGroup,%20OfficeSequence,%20PartySequence,%20BracketID,%20vwCandidates.ID"
"Luis Gutiérrez","house","Illinois","4th","","Luis Gutiérrez","""Candidate List""","http://www.elections.state.il.us/ElectionInformation/CandList.aspx?SearchType=OfficeID&ElectionID=50&OfficeID=7555&OrderBy=ORDER%20BY%20OfficeBallotGroup,%20OfficeSequence,%20PartySequence,%20BracketID,%20vwCandidates.ID"
"Mike Quigley","house","Illinois","5th","","Mike Quigley","""Candidate List""","http://www.elections.state.il.us/ElectionInformation/CandList.aspx?SearchType=OfficeID&ElectionID=50&OfficeID=7583&OrderBy=ORDER%20BY%20OfficeBallotGroup,%20OfficeSequence,%20PartySequence,%20BracketID,%20vwCandidates.ID"
"Amanda Howland","house","Illinois","6th","","Peter Roskam","""Candidate List""","http://www.elections.state.il.us/ElectionInformation/CandList.aspx?SearchType=OfficeID&ElectionID=50&OfficeID=7600&OrderBy=ORDER%20BY%20OfficeBallotGroup,%20OfficeSequence,%20PartySequence,%20BracketID,%20vwCandidates.ID"
"Danny Davis","house","Illinois","7th","","Danny Davis","""Rep. Danny Davis running for Congress again""","http://chicago.suntimes.com/politics/7/71/939128/rep-danny-davis-says-hes-running-congress"
"Raja Krishnamoorthi","house","Illinois","8th","","Tammy Duckworth","""Democrat Announces Bid to Succeed Tammy Duckworth""","http://atr.rollcall.com/democrat-announces-bid-to-succeed-tammy-duckworth"
"Jan Schakowsky","house","Illinois","9th","","Jan Schakowsky","""Candidate List""","http://www.elections.state.il.us/ElectionInformation/CandList.aspx?SearchType=OfficeID&ElectionID=50&OfficeID=7653&OrderBy=ORDER%20BY%20OfficeBallotGroup,%20OfficeSequence,%20PartySequence,%20BracketID,%20vwCandidates.ID"
"Brad Schneider","house","Illinois","10th","","Bob Dold","""Former Rep. Brad Schneider kicks off comeback bid Thursday""","http://chicago.suntimes.com/lynn-sweet-politics/7/71/490115/former-rep-brad-schneider-kicks-comeback-bid-Thursday"
"Bill Foster","house","Illinois","11th","","Bill Foster","""Foster gearing up for re-election bid as challenges loom""","http://www.chicagotribune.com/suburbs/naperville-sun/news/ct-nvs-foster-update-st-0906-20150904-story.html"
"C.J. Baricevic","house","Illinois","12th","","Mike Bost","""Belleville attorney C.J. Baricevic confirms run for Congress""","http://www.bnd.com/news/local/article22796916.html"
"Mark Wicklund","house","Illinois","13th","","Rodney Davis","""Dem to announce run against Davis""","http://www.news-gazette.com/news/local/2015-10-14/tom-kacich-dem-announce-run-against-davis.html"
"Jim Walz","house","Illinois","14th","","Randy Hultgren","""Candidate List""","http://www.elections.state.il.us/ElectionInformation/CandList.aspx?SearchType=OfficeID&ElectionID=50&OfficeID=7416&OrderBy=ORDER%20BY%20OfficeBallotGroup,%20OfficeSequence,%20PartySequence,%20BracketID,%20vwCandidates.ID"
"Cheri Bustos","house","Illinois","17th","","Cheri Bustos","""Bustos files for re-election; has at least two GOP opponents""","http://www.saukvalley.com/2015/11/30/bustos-files-for-re-election-has-at-least-two-gop-opponents/abszc6k"
"Junius Rodriguez","house","Illinois","18th","","Darin LaHood","""Eureka College professor Junius Rodriguez to challenge Rep. Darin LaHood for seat in Congress""","http://www.pjstar.com/article/20160505/NEWS/160509707"
"Pete Visclosky","house","Indiana","1st","","Pete Visclosky","""Visclosky seeking 17th term in Congress""","http://www.nwitimes.com/news/local/lake/visclosky-seeking-th-term-in-congress/article_764486f1-ae91-57f0-b1e3-06e2c7603cd2.html"
"Lynn Coleman","house","Indiana","2nd","","Jackie Walorski","""Lynn Coleman to challenge Jackie Walorski for 2nd District seat""","http://www.southbendtribune.com/news/local/lynn-coleman-to-challenge-jackie-walorski-for-nd-district-seat/article_0fc843cc-a35b-11e5-b18a-47dc6ac464bf.html"
"Tommy Schrader","house","Indiana","3rd","","Marlin Stutzman","""Democrats won't support their Congressional candidate""","http://www.journalgazette.net/news/local/local-politics/Democrats-won-t-support-their-Congressional-candidate-12905751"
"John Dale","house","Indiana","4th","","Todd Rokita","""May 3, 2016 Primary Election Candidates""","http://www.in.gov/sos/elections/files/2016_May_3_Primary_Candidate_Abbreviated_List_Feb_22__pdf.pdf"
"Angela Demaree","house","Indiana","5th","","Susan Brooks","""Despite anger against DC, few seats in play""","http://howeypolitics.com/Files/HPI150917.pdf#page=5"
"Barry Welsh","house","Indiana","6th","","Luke Messer","""May 3, 2016 Primary Election Candidates""","http://www.in.gov/sos/elections/files/2016_May_3_Primary_Candidate_Abbreviated_List_Feb_22__pdf.pdf"
"Andre Carson","house","Indiana","7th","","Andre Carson","""May 3, 2016 Primary Election Candidates""","http://www.in.gov/sos/elections/files/2016_May_3_Primary_Candidate_Abbreviated_List_Feb_22__pdf.pdf"
"Ron Drake","house","Indiana","8th","","Larry Bucshon","""May 3, 2016 Primary Election Candidates""","http://www.in.gov/sos/elections/files/2016_May_3_Primary_Candidate_Abbreviated_List_Feb_22__pdf.pdf"
"David Orentlicher","house","Indiana","8th","","Larry Bucshon","""Orentlicher Files For Recount In District 8 Primary""","http://indianapublicmedia.org/news/orentlicher-files-recount-district-8-primary-99035"
"Shelli Yoder","house","Indiana","9th","","Todd Young","""Shelli Yoder Announces She's Running For Congress Again""","http://indianapublicmedia.org/news/shelli-yoder-announces-running-congress-86202"
"Monica Vernon","house","Iowa","1st","","Rod Blum","""Monica Vernon announces run for Congress""","http://www.desmoinesregister.com/story/news/politics/2015/01/15/monica-vernon-congress-announcement/21801775"
"Dave Loebsack","house","Iowa","2nd","","Dave Loebsack","""Loebsack in Des Moines to talk 2016 campaign strategy""","http://www.radioiowa.com/2015/04/21/loebsack-in-des-moines-to-talk-2016-campaign-strategy"
"Jim Mowrer","house","Iowa","3rd","","David Young","""Iraq vet Jim Mowrer running for Congress again""","http://www.desmoinesregister.com/story/news/politics/2015/08/17/jim-mowrer-running-congress/31828103"
"Kim Weaver","house","Iowa","4th","","Steve King","""Weaver announces bid to defeat King in Iowa 4th District""","http://siouxcityjournal.com/news/local/weaver-announces-bid-to-defeat-king-in-iowa-th-district/article_0b062207-4383-5ed9-865a-0ed73a2f5754.html"
"Britani Potter","house","Kansas","2nd","","Lynn Jenkins","""Rep. Lynn Jenkins files for re-election against two Democratic opponents""","http://cjonline.com/news/2016-05-05/rep-lynn-jenkins-files-re-election-against-two-democratic-opponents"
"Jay Sidie","house","Kansas","3rd","","Kevin Yoder","""Mission Woods Democrat announces campaign against U.S. Rep. Kevin Yoder""","http://www.kansascity.com/news/politics-government/article78433157.html"
"Dan Giroux","house","Kansas","4th","","Mike Pompeo","""Wichita attorney Dan Giroux announces challenge to Rep. Mike Pompeo""","http://cjonline.com/news/2015-10-01/wichita-attorney-dan-giroux-announces-challenge-rep-mike-pompeo"
"Sam Gaskins","house","Kentucky","1st","","Ed Whitfield","""Christian County Native to Run for Congress""","http://www.wkdzradio.com/Christian-County-Native-To-Run-For-Whitfield-Seat/22028984"
"John Yarmuth","house","Kentucky","3rd","","John Yarmuth","""Yarmuth announces he will seek re-election to Congress for sixth term""","http://mycn2.com/politics/yarmuth-announces-he-will-seek-re-election-to-congress-for-sixth-term"
"Calvin Sidle","house","Kentucky","4th","","Thomas Massie","""Most US Representatives from Ky. face challenges""","http://www.courier-journal.com/story/news/politics/elections/kentucky/2016/01/26/most-us-representatives-kentucky-face-challenges/79368888"
"Nancy Jo Kemper","house","Kentucky","6th","","Andy Barr","""Democrat Nancy Jo Kemper files to run for U.S. Rep. Andy Barr's seat 73-year-old minister to challenge Republican""","http://www.kentucky.com/news/politics-government/article55826180.html"
"Lee Ann Dugas","house","Louisiana","1st","","Steve Scalise","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Danil Ezekiel Faust","house","Louisiana","1st","","Steve Scalise","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Joseph ""Joe"" Swider","house","Louisiana","1st","","Steve Scalise","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Cedric Richmond","house","Louisiana","2nd","","Cedric Richmond","""Holden targeting 2nd Congressional District for possible run this fall""","https://www.businessreport.com/article/holden-targeting-2nd-congressional-district-possible-run-fall"
"Kip Holden","house","Louisiana","2nd","","Cedric Richmond","""Baton Rouge Mayor Kip Holden to challenge Congressman Cedric Richmond this fall""","http://theadvocate.com/news/15828777-124/baton-rouge-mayor-kip-holden-to-challenge-congressman-cedric-richmond-this-fall"
"Kenneth Cutno","house","Louisiana","2nd","","Cedric Richmond","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Jacob ""Dorian Hibian"" Hebert","house","Louisiana","3rd","","Charles Boustany","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Larry Rader","house","Louisiana","3rd","","Charles Boustany","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Marshall Jones","house","Louisiana","4th","","John Fleming","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Richard Lieberman","house","Louisiana","6th","","Garret Graves","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Jermaine Sampson","house","Louisiana","6th","","Garret Graves","""Five Lafourche Parish candidates automatically elected""","http://www.dailycomet.com/article/20160722/HURBLOG/160729896/"
"Chellie Pingree","house","Maine","1st","","Chellie Pingree","""Republican from Brunswick plans to challenge Pingree in 2016""","http://www.pressherald.com/2015/11/19/republican-from-brunswick-plans-to-challenge-pingree-in-2016"
"Emily Cain","house","Maine","2nd","","Bruce Poliquin","""Emily Cain announces 2016 bid for Congress""","http://stateandcapitol.bangordailynews.com/2015/03/03/emily-cain-announces-2016-bid-for-congress"
"Joe Werner","house","Maryland","1st","","Andy Harris","""Werner wraps up Md. Congressional, District 1 democratic nomination""","http://www.wmdt.com/news/more-local-news/Werner-wraps-up-Md-Congressional-District-1-democratic-nomination/39234584"
"Dutch Ruppersberger","house","Maryland","2nd","","Dutch Ruppersberger","""Ruppersberger won't run for Senate""","http://www.baltimoresun.com/news/maryland/politics/blog/bal-ruppersberger-wont-run-for-senate-20150929-story.html"
"John Sarbanes","house","Maryland","3rd","","John Sarbanes","""Rep. John Sarbanes will not run for Senate""","http://www.baltimoresun.com/news/maryland/politics/blog/bal-sarbanes-will-not-for-senate-20150613-story.html"
"Anthony G. Brown","house","Maryland","4th","","Donna Edwards","""Anthony Brown to run for House seat""","http://www.baltimoresun.com/news/maryland/politics/blog/bal-anthony-brown-20150311-story.html"
"Steny Hoyer","house","Maryland","5th","","Steny Hoyer","""2016 Candidate Listing""","http://www.elections.maryland.gov/elections/2016/general_candidates/gen_cand_lists_2016_4_008X.html"
"John Delaney","house","Maryland","6th","","John Delaney","""Delaney to run for re-election to Congress""","http://www.heraldmailmedia.com/news/local/delaney-to-run-for-re-election-to-congress/article_95ed1e7c-5a6e-11e5-992b-33583d873c7a.html"
"Elijah Cummings","house","Maryland","7th","","Elijah Cummings","""Rep. Cummings won't run for open Maryland Senate seat""","http://www.politico.com/story/2016/02/elijah-cummings-maryland-senate-2016-218551"
"Jamie Raskin","house","Maryland","8th","","Chris Van Hollen","""Raskin says he'll run for Congress in 8th District""","http://www.baltimoresun.com/news/maryland/politics/blog/bal-raskin-says-hell-run-for-congress-in-8th-district-20150323-story.html"
"Richard Neal","house","Massachusetts","1st","","Richard Neal","""DEMOCRATIC CANDIDATES FOR NOMINATION""","https://www.sec.state.ma.us/ele/ele16/state_primary-democratic16.htm"
"Jim Mcgovern","house","Massachusetts","2nd","","Jim McGovern","""McGovern nears 20 years in Congress, with no plans to relinquish seat""","http://www.telegram.com/article/20151024/NEWS/151029450"
"Niki Tsongas","house","Massachusetts","3rd","","Niki Tsongas","""DEMOCRATIC CANDIDATES FOR NOMINATION""","https://www.sec.state.ma.us/ele/ele16/state_primary-democratic16.htm"
"Joe Kennedy","house","Massachusetts","4th","","Joe Kennedy","""Kennedy to seek 3rd term in Congress""","http://www.thesunchronicle.com/news/local_news/kennedy-to-seek-rd-term-in-congress/article_062d7ee9-a02b-583f-baa9-0fda60f2d512.html"
"Katherine Clark","house","Massachusetts","5th","","Katherine Clark","""Katherine Clark's rise in D.C. has Democrats looking ahead""","https://www.bostonglobe.com/metro/2015/11/08/katherine-clark-star-rising-washington-and-back-home-too/ITFdbDKO1uWRhPOSF9XJdI/story.html"
"Seth Moulton","house","Massachusetts","6th","","Seth Moulton","""Moulton confirms he will seek reelection""","http://www.gloucestertimes.com/news/local_news/moulton-confirms-he-will-seek-reelection/article_c346cd71-69ce-5460-ae5f-82f27d38f456.html"
"Mike Capuano","house","Massachusetts","7th","","Mike Capuano","""DEMOCRATIC CANDIDATES FOR NOMINATION""","https://www.sec.state.ma.us/ele/ele16/state_primary-democratic16.htm"
"Stephen Lynch","house","Massachusetts","8th","","Stephen Lynch","""DEMOCRATIC CANDIDATES FOR NOMINATION""","https://www.sec.state.ma.us/ele/ele16/state_primary-democratic16.htm"
"Bill Keating","house","Massachusetts","9th","","Bill Keating","""DEMOCRATIC CANDIDATES FOR NOMINATION""","https://www.sec.state.ma.us/ele/ele16/state_primary-democratic16.htm"
"Lon Johnson","house","Michigan","1st","","Dan Benishek","""Mich. Dem Lon Johnson to run for Congress""","http://www.freep.com/story/news/local/michigan/2015/06/25/johnson-congress-run/29261011"
"Dennis B. Murphy","house","Michigan","2nd","","Bill Huizenga","""2016 Michigan Candidate Listing""","http://miboecfr.nictusa.com/election/candlist/16PRI/16PRI_CL.HTM"
"Douglas Smith","house","Michigan","3rd","","Justin Amash","""2016 Michigan Candidate Listing""","http://miboecfr.nictusa.com/election/candlist/16PRI/16PRI_CL.HTM"
"Dan Kildee","house","Michigan","5th","","Dan Kildee","""Congressman Dan Kildee seeks third term in office""","http://www.mlive.com/news/flint/index.ssf/2016/04/congressman_dan_kildee_files_f_1.html"
"Paul Clements","house","Michigan","6th","","Fred Upton","""Clements again to challenge Upton for 6th District seat""","http://www.heraldpalladium.com/news/local/clements-again-to-challenge-upton-for-th-district-seat/article_5396ff1c-81e9-5ce2-92a9-73af292c723b.html"
"Gretchen Driskell","house","Michigan","7th","","Tim Walberg","""Democratic state Rep. Gretchen Driskell announces bid for 7th Congressional seat in 2016""","http://www.mlive.com/news/jackson/index.ssf/2015/02/democratic_state_rep_gretchen.html"
"Suzanna Shkreli","house","Michigan","8th","","Mike Bishop","""Dems want newcomer to step into Melissa Gilbert's shoes""","http://www.freep.com/story/news/politics/2016/07/06/mike-bishop-suzanna-shkreli/86724786/"
"Sander Levin","house","Michigan","9th","","Sander Levin","""Rep. Sander Levin will run for reelection""","http://www.politico.com/story/2015/07/sander-levin-reelection-bid-2016-119897.html"
"Frank Accavitti Jr","house","Michigan","10th","","Candice Miller","""Macomb County in transition — big races shaping up for Congress, state House""","https://www.politicscentral.org/macomb-county-transition-big-races-shaping-congress-state-house-2"
"Anil Kumar","house","Michigan","11th","","Dave Trott","""Officials: Oakland County drinking water separate from Flint""","http://www.theoaklandpress.com/general-news/20160224/officials-oakland-county-drinking-water-separate-from-flint"
"Debbie Dingell","house","Michigan","12th","","Debbie Dingell","""Community holds fundraising event for Debbie Dingell""","http://www.arabamericannews.com/news/news/id_12020/Community-holds-fundraising-event-for-Debbie-Dingell.html"
"John Conyers","house","Michigan","13th","","John Conyers","""Rep. John Conyers will run for a 27th term""","http://www.usatoday.com/story/news/politics/elections/2015/11/22/rep-john-conyers-run-27th-term/76132184"
"Brenda Lawrence","house","Michigan","14th","","Brenda Lawrence","""2016 Michigan Candidate Listing""","http://miboecfr.nictusa.com/election/candlist/16PRI/16PRI_CL.HTM"
"Tim Walz","house","Minnesota","1st","","Tim Walz","""Walz hires former lawmaker to manage campaign""","http://www.postbulletin.com/news/politics/walz-hires-former-lawmaker-to-manage-campaign/article_ff184a8f-0277-5bb8-97a5-30c0901f5b80.html"
"Angie Craig","house","Minnesota","2nd","","John Kline","""2nd District Democrats hand Angie Craig nomination for Congress""","http://www.twincities.com/2016/04/30/angie-craig-2nd-congressional-district-democratic-nomination"
"Terri Bonoff","house","Minnesota","3rd","","Erik Paulsen","""State Sen. Bonoff challenges Paulsen for Congress""","http://blogs.mprnews.org/capitol-view/2016/04/state-sen-bonoff-challenges-paulsen-for-congress"
"Betty Mccollum","house","Minnesota","4th","","Betty McCollum","""Candidate Filings - Minnesota""","http://candidates.sos.state.mn.us/CandidateFilingResults.aspx?county=0&municipality=0&schooldistrict=0&hospitaldistrict=0&level=1&party=0&federal=True&judicial=True&executive=True&senate=True&representative=True&title=&office=0&candidateid=0"
"Keith Ellison","house","Minnesota","5th","","Keith Ellison","""Candidate Filings - Minnesota""","http://candidates.sos.state.mn.us/CandidateFilingResults.aspx?county=0&municipality=0&schooldistrict=0&hospitaldistrict=0&level=1&party=0&federal=True&judicial=True&executive=True&senate=True&representative=True&title=&office=0&candidateid=0"
"David Snyder","house","Minnesota","6th","","Tom Emmer","""Snyder to run for U.S. House in 6th District""","http://www.sctimes.com/story/news/local/2016/05/18/sndyer-run-us-house-6th-district/84548408"
"Collin Peterson","house","Minnesota","7th","","Collin Peterson","""Peterson to seek re-election in 2016 in Minnesota's 7th District""","http://www.twincities.com/politics/ci_27407596/peterson-seek-re-election-2016-minnesotas-7th-district"
"Rick Nolan","house","Minnesota","8th","","Rick Nolan","""U.S. Rep. Rick Nolan says he will seek another term in 2016""","http://www.startribune.com/u-s-rep-rick-nolan-says-he-will-seek-another-term-in-2016/311652931"
"Jacob Owens","house","Mississippi","1st","","Trent Kelly","""Mississippi Democrats field candidates in #MS01, #MS04; Thompson files for reelection in #MS02""","http://yallpolitics.com/index.php/yp/post/42970"
