"name","office","state","district","incumbent","representative","reference_name","reference_url"
"Tony Ventrella","house","Washington","8th","","Dave Reichert","""Former sportscaster Tony Ventrella to challenge Reichert in 8th District""","http://www.seattletimes.com/seattle-news/politics/former-sportscaster-tony-ventrella-to-challenge-reichert-in-8th-district"
"Adam Smith","house","Washington","9th","","Adam Smith","""2016 Candidates Who Have Filed""","http://weiapplets.sos.wa.gov/elections/Candidates/WhoFiled?countyCode=XX"
"Denny Heck","house","Washington","10th","","Denny Heck","""2016 Candidates Who Have Filed""","http://weiapplets.sos.wa.gov/elections/Candidates/WhoFiled?countyCode=XX"
"Mike Manypenny","house","West Virginia","1st","","David McKinley","""Ex-W.Va. Delegate Manypenny files early papers for Congress""","http://www.ctpost.com/news/article/Ex-W-Va-Delegate-Manypenny-files-early-papers-6229009.php"
"Mark Hunt","house","West Virginia","2nd","","Alex Mooney","""Former W.Va. delegate to run for congressional seat""","http://www.heraldmailmedia.com/news/tri_state/west_virginia/former-w-va-delegate-to-run-for-congressional-seat/article_a4d8e250-b8d2-11e5-a18f-df75bcf9c08c.html"
"Matt Detch","house","West Virginia","3rd","","Evan Jenkins","""Matt Detch files for U.S. House of Representatives""","http://mountainmessenger.com/matt-detch-files-u-s-house-representatives"
"Ryan Solen","house","Wisconsin","1st","","Paul Ryan","""Second Democrat enters race for 1st District congressional seat""","http://www.gazettextra.com/20160217/second_democrat_enters_race_for_1st_district_congressional_seat"
"Mark Pocan","house","Wisconsin","2nd","","Mark Pocan","""Candidates file for Congress, state Legislature""","http://host.madison.com/wsj/news/local/govt-and-politics/candidates-file-for-congress-state-legislature/article_ed39ba17-7ab7-5d33-b1eb-52a6641c31b6.html"
"Ron Kind","house","Wisconsin","3rd","","Ron Kind","""Wisconsin - 2016 Primary Candidate List""","http://www.gab.wi.gov/sites/default/files/page/candidates_tracking_by_office_6_1_2016_7pm_pdf_33733.pdf"
"Myron Buchholz","house","Wisconsin","3rd","","Ron Kind","""Kind Gets Dem Challenger In 3rd District Congressional Primary""","http://www.wpr.org/kind-gets-dem-challenger-3rd-district-congressional-primary"
"Gwen Moore","house","Wisconsin","4th","","Gwen Moore","""Candidates file for Congress, state Legislature""","http://host.madison.com/wsj/news/local/govt-and-politics/candidates-file-for-congress-state-legislature/article_ed39ba17-7ab7-5d33-b1eb-52a6641c31b6.html"
"Khary Penebaker","house","Wisconsin","5th","","Jim Sensenbrenner","""Rep. Jim Sensenbrenner draws challenger in Wisconsin's 5th congressional district""","http://fox6now.com/2016/03/06/rep-jim-sensenbrenner-draws-challenger-in-wisconsins-5th-congressional-district"
"Sarah Lloyd","house","Wisconsin","6th","","Glenn Grothman","""Grothman challengers emerge in race for congress""","http://www.thenorthwestern.com/story/news/politics/2016/05/04/grothman-challengers-emerge-race-congress/83887716"
"Mary Hoeft","house","Wisconsin","7th","","Sean Duffy","""Rice Lake woman announces Congressional candidacy""","http://www.superiortelegram.com/news/government/4031182-rice-lake-woman-announces-congressional-candidacy"
"Tom Nelson","house","Wisconsin","8th","","Reid Ribble","""Tom Nelson announces run for Congress""","http://www.postcrescent.com/story/news/politics/2016/04/07/nelson-announce-run-congress-seat/82738196"
"Ryan Greene","house","Wyoming","at-large","","Cynthia Lummis","""Wyoming Dems have one of their own running for US House""","http://trib.com/news/state-and-regional/govt-and-politics/wyoming-dems-have-one-of-their-own-running-for-us/article_0f3f68ca-6ea9-5405-b05b-6d90edb6ee10.html"
"John Carney","governor","Delaware","","","","""Delaware Rep. John Carney Running for Governor""","http://atr.rollcall.com/delawares-john-carney-running-governor/"
"John Gregg","governor","Indiana","","","","""Pence faces bid by Gregg, potential run by Ritz""","http://www.indystar.com/story/news/politics/2015/04/30/gregg-set-to-announce-governor-bid-pence-rematch-likely/26626999/"
